,author,count
266,sharma n.k.,2
267,gonzález lebrero m.c.,2
268,alves c.n.,2
269,oliveira j.i.n.,2
270,martinez-santos j.c.,2
271,ribeiro m.a.,2
272,formigoni r.e.,2
273,romero a.h.,2
274,bruni a.t.,2
275,buongiorno nardelli m.,2
276,lópez j.m.,2
277,bousquet e.,2
278,s. blawid,2
279,doshi r.,2
280,yamijala s.s.r.k.c.,2
281,de lima bernardo b.,2
282,sharma s.s.,2
283,rodrigues c.h.p.,2
284,giuntini r.,2
285,t. escovedo,2
286,quiles m.g.,2
287,da silva j.l.f.,2
288,galvao e.f.,2
289,tsallis c.,2
290,alejandre j.,2
291,farias s.a.s.,2
292,anota e.c.,2
293,a. j. da silva,2
294,zamora w.j.,2
295,camacho-mendoza r.l.,2
296,li f.,2
297,zhao j.,2
298,gómez-castro c.z.,2
299,rodriguez-henriquez f.,2
300,ochoa-jimenez e.,2
301,kuznetsov a.e.,2
302,oliveira d.,2
303,giusto e.,2
304,dri e.,2
305,casciola n.,2
306,martinez i.,2
307,cárdenas-lópez f.a.,2
308,retamal j.c.,2
309,marzuoli a.,2
310,silva a.,2
311,montrucchio b.,2
312,rech p.,2
313,durini d.,2
314,monteiro a.,2
315,r. schurch,2
316,l. c. faria,2
317,cruz-borbolla j.,2
318,filho g.i.s.,2
319,bentes c.,2
320,l. c. azevedo,2
321,da silva c.p.,2
322,xavier g.b.,2
323,lima g.,2
324,fernandes p.b.,2
325,martins m.g.a.,2
326,callegaro v.,2
327,bagnato v.s.,2
328,r. g. lins,2
329,da cruz a.v.a.,2
330,fonseca neto j.v.,2
331,bedoya-ríos p.,2
332,bechtold s.,2
333,reis a.i.,2
334,serna s.,2
335,sepúlveda r.,2
336,jitrik o.,2
337,francisco-márquez m.,2
338,de la luz a.p.,2
339,sainz-díaz c.i.,2
340,monteiro a.f.,2
341,bochicchio r.c.,2
342,lobayan r.m.,2
343,gonzalez f.a.,2
344,p. tovar,2
345,s. y. c. catunda,2
346,reis r.,2
347,o. muñoz,2
348,m. t. f. da silva,2
349,martins j.b.l.,2
350,osenda o.,2
351,monteiro n.d.k.v.,2
352,fonseca de oliveira a.l.,2
353,andrade e.r.,2
354,m. bierzychudek,2
355,n. li,2
356,roca-sanjuán d.,2
357,ferrusca d.,2
358,viayna a.,2
359,hernández e.,2
360,ocegueda m.,2
361,vilhena j.g.,2
362,fontes g.,2
363,i. de leon,2
364,martí m.a.,2
365,silva p.a.,2
366,casillas n.,2
367,auccaise r.,2
368,stepanov s.,2
369,velazquez m.,2
370,sill torres f.,2
371,passos m.h.m.,2
372,pellikaan r.,2
373,de bernardis p.,2
374,pereira d.,2
375,velumani s.,2
376,strachan g.c.,2
377,y. li,2
378,reyes a.,2
379,konrad t.,2
380,vieira m.a.m.,2
381,ferrer m.m.,2
382,roversi j.a.,2
383,carrillo-bohórquez o.,2
384,a. jorio,2
385,prosmiti r.,2
386,i. f. araujo,2
387,a. s. l. gomes,2
388,e. m. spinelli,2
389,m. a. haberman,2
390,f. n. guerrero,2
391,p. a. garcía,2
392,vieira l.f.m.,2
393,canuto s.,2
394,zwick a.,2
395,bezerra l.l.,2
396,sierra-sosa d.,2
397,álvarez g.a.,2
398,lalinde-pulido j.g.,2
399,giraldo-quintero a.,2
400,l. palafox,2
401,r. behr,2
402,correia a.n.,2
403,de lima-neto p.,2
404,stolze j.,2
405,i. c. s. araújo,2
406,da silva l.d.,2
407,gradziel m.,2
408,ossandón s.,2
409,louis t.,2
410,maffei b.,2
411,marty w.,2
